interval_begin;interval_end;interval_id;edge_arrived;edge_density;edge_departed;edge_entered;edge_flow;edge_id;edge_laneChangedFrom;edge_laneChangedTo;edge_laneDensity;edge_left;edge_occupancy;edge_overlapDensity;edge_overlapTraveltime;edge_sampledSeconds;edge_speed;edge_speedRelative;edge_timeLoss;edge_traveltime;edge_waitingTime
0.00;3600.00;wizard_example;0;0.18;2;3;4.56;-320047928#13;0;0;0.18;5;0.09;0.22;3.89;18.03;7.25;0.52;8.08;3.36;0.00
0.00;3600.00;wizard_example;0;0.59;1;25;25.84;-320047928#3;0;0;0.59;26;0.30;0.70;3.20;82.75;11.84;0.85;11.07;2.71;0.00
0.00;3600.00;wizard_example;0;0.51;1;22;22.76;-320047928#5;0;0;0.51;23;0.26;0.63;2.10;47.83;12.46;0.90;5.00;1.70;0.00
0.00;3600.00;wizard_example;0;0.51;1;21;21.76;-320047928#6;0;0;0.51;22;0.26;0.63;2.21;48.11;11.86;0.85;7.61;1.79;0.00
0.00;3600.00;wizard_example;1;0.52;1;20;20.79;-320047928#7;0;0;0.52;20;0.27;0.69;2.87;59.39;10.03;0.72;16.33;2.14;2.00
0.00;3600.00;wizard_example;0;0.43;1;18;18.90;-320047928#8;0;0;0.43;19;0.22;0.49;5.01;94.80;11.65;0.84;17.78;4.36;3.00
0.00;3600.00;wizard_example;0;0.43;3;14;16.64;-320047928#9;0;0;0.43;17;0.23;0.51;4.66;77.67;10.15;0.73;20.00;3.91;2.00
0.00;3600.00;wizard_example;0;0.12;4;0;3.83;-320047929;0;0;0.12;4;0.06;0.12;13.75;52.72;8.98;0.65;16.78;12.92;0.00
0.00;3600.00;wizard_example;0;3.81;2;213;214.57;-320047931#1;0;0;3.81;213;1.88;4.15;3.18;682.10;15.92;0.72;184.45;2.92;58.00
0.00;3600.00;wizard_example;0;3.26;3;187;189.32;-320047931#2;0;0;3.26;190;1.63;3.96;1.68;319.13;16.26;0.73;76.68;1.39;0.00
0.00;3600.00;wizard_example;0;3.59;1;175;175.92;-320047931#3;0;0;3.59;176;1.75;3.82;4.73;832.69;13.84;0.62;309.52;4.45;0.00
0.00;3600.00;wizard_example;1;3.51;1;168;168.96;-320047931#4;0;0;3.51;168;1.78;3.79;9.56;1615.60;12.90;0.58;643.54;8.84;0.00
0.00;3600.00;wizard_example;0;2.88;1;163;163.39;-320047931#5;0;0;2.88;163;1.47;3.19;5.34;872.58;15.17;0.68;204.51;4.82;0.00
0.00;3600.00;wizard_example;0;2.08;1;131;131.57;-320047931#6;0;0;2.08;132;1.03;2.93;0.95;125.04;17.76;0.80;23.61;0.68;0.00
0.00;3600.00;wizard_example;0;1.76;2;121;122.18;-320047931#7;0;0;1.76;122;0.88;2.01;1.99;242.67;19.40;0.87;28.89;1.74;0.00
0.00;3600.00;wizard_example;0;1.73;1;114;114.98;-320047931#8;0;0;1.73;115;0.86;1.76;15.82;1818.66;18.46;0.83;298.38;15.58;0.00
