tripinfo_arrival;tripinfo_arrivalLane;tripinfo_arrivalPos;tripinfo_arrivalSpeed;tripinfo_depart;tripinfo_departDelay;tripinfo_departLane;tripinfo_departPos;tripinfo_departSpeed;tripinfo_devices;tripinfo_duration;tripinfo_id;tripinfo_rerouteNo;tripinfo_routeLength;tripinfo_speedFactor;tripinfo_stopTime;tripinfo_timeLoss;tripinfo_vType;tripinfo_vaporized;tripinfo_waitingCount;tripinfo_waitingTime
1827.00;988553254_0;379.18;14.95;719.00;0.03;-1042925591_0;5.10;0.00;tripinfo_veh14810 routing_veh14810;1108.00;veh14810;1;16421.09;1.13;0.00;464.31;veh_passenger;;7;286.00
1827.00;1154699531_0;50.01;13.91;1038.00;7.26;26299206#3_0;5.10;0.00;tripinfo_veh21232 routing_veh21232;789.00;veh21232;1;1917.67;1.00;0.00;640.14;veh_passenger;;11;493.00
1827.00;158354649#0_0;111.72;14.74;1593.00;0.63;-669663045#1_0;5.10;14.95;tripinfo_veh32801 routing_veh32801;234.00;veh32801;1;2689.33;1.08;0.00;108.96;veh_passenger;;2;65.00
1827.00;1368305039#1_0;16.11;11.18;1663.00;0.58;123722495#5_0;5.10;0.00;tripinfo_veh34244 routing_veh34244;164.00;veh34244;1;2714.06;1.05;0.00;31.69;veh_passenger;;0;0.00
1828.00;-1071869441_0;43.16;15.03;298.00;0.56;-1051010635#1_0;5.10;16.41;tripinfo_veh6127 routing_veh6127;1530.00;veh6127;1;15041.84;1.18;0.00;908.51;veh_passenger;;10;752.00
1828.00;-1386107129#0_0;1194.80;13.06;660.00;0.54;1055049389#0_0;5.10;0.00;tripinfo_veh13584 routing_veh13584;1168.00;veh13584;1;22050.88;1.02;0.00;255.17;veh_passenger;;4;77.00
1828.00;1042384280#1_0;906.69;15.34;742.00;0.99;-1368648328#3_0;5.10;15.99;tripinfo_veh15264 routing_veh15264;1086.00;veh15264;1;19419.06;1.15;0.00;335.03;veh_passenger;;5;95.00
1828.00;1390412204#1_0;70.71;11.18;1164.00;0.29;-1051074686_0;5.10;11.56;tripinfo_veh23971 routing_veh23971;664.00;veh23971;1;10487.73;0.83;0.00;76.95;veh_passenger;;1;1.00
1828.00;1217255098_0;90.37;13.13;1204.00;0.14;-586597051#1_0;5.10;0.00;tripinfo_veh24798 routing_veh24798;624.00;veh24798;1;10025.37;0.99;0.00;94.40;veh_passenger;;1;3.00
1828.00;-813609099#2_0;220.50;15.41;1236.00;24.67;902985182#3_0;0.20;0.00;tripinfo_veh24952 routing_veh24952;592.00;veh24952;1;5190.62;1.13;0.00;371.73;veh_passenger;;5;230.00
1828.00;1049873916_0;62.28;11.19;1303.00;2.73;221202411#12_0;5.10;0.00;tripinfo_veh26784 routing_veh26784;525.00;veh26784;1;6121.51;0.88;0.00;56.09;veh_passenger;;1;7.00
1828.00;1061156238#1_0;172.89;12.37;1398.00;0.15;-1389259744_0;5.10;12.87;tripinfo_veh28794 routing_veh28794;430.00;veh28794;1;6696.89;0.93;0.00;44.28;veh_passenger;;0;0.00
1829.00;1216159284_0;317.52;11.09;526.00;0.73;232973378#2_0;5.10;0.00;tripinfo_veh10820 routing_veh10820;1303.00;veh10820;1;14714.59;0.87;0.00;457.33;veh_passenger;;13;182.00
1829.00;1054012036_0;30.60;12.41;1387.00;0.46;354997503#3_0;5.10;0.00;tripinfo_veh28561 routing_veh28561;442.00;veh28561;1;4592.28;0.97;0.00;121.94;veh_passenger;;5;21.00
1829.00;-1043558170#2_0;68.96;13.73;1408.00;2.29;158366236#6_0;5.10;0.00;tripinfo_veh28956 routing_veh28956;421.00;veh28956;1;7188.16;1.02;0.00;154.48;veh_passenger;;3;60.00
1830.00;1266177873_0;216.29;14.17;24.00;0.65;1049877257#0_0;5.10;0.00;tripinfo_veh481 routing_veh481;1806.00;veh481;1;25148.26;1.04;0.00;862.13;veh_passenger;;19;532.00
1830.00;902523983#3_0;13.18;8.22;1060.00;0.47;684330790_0;3.91;0.00;tripinfo_veh21825 routing_veh21825;770.00;veh21825;1;8543.51;1.10;0.00;368.90;veh_passenger;;7;166.00
1830.00;902920459#5_0;1.67;24.13;1299.00;0.92;-1042848933#1_0;5.10;15.73;tripinfo_veh26739 routing_veh26739;531.00;veh26739;1;6454.18;1.13;0.00;166.58;veh_passenger;;3;68.00
1831.00;-1382938033_0;90.98;15.26;673.00;0.53;-1049877269#1_0;5.10;15.80;tripinfo_veh13852 routing_veh13852;1158.00;veh13852;1;23807.59;1.14;0.00;379.00;veh_passenger;;5;172.00
1831.00;1052750837_0;29.48;13.26;696.00;0.62;-158366236#23_1;5.10;0.00;tripinfo_veh14324 routing_veh14324;1135.00;veh14324;1;12746.35;1.12;0.00;613.59;veh_passenger;;13;379.00
1831.00;-355393315#1_0;58.76;13.89;759.00;0.02;1219040435_0;5.10;0.00;tripinfo_veh15634 routing_veh15634;1072.00;veh15634;1;4767.45;1.05;0.00;817.62;veh_passenger;;5;713.00
1833.00;-1044464384#1_0;14.57;8.21;160.00;0.82;1071872435_0;5.10;12.63;tripinfo_veh3279 routing_veh3279;1673.00;veh3279;1;14331.63;0.91;0.00;876.79;veh_passenger;;16;690.00
1833.00;-641793526#5_0;53.44;14.73;521.00;0.92;1384651169#0_0;5.10;0.00;tripinfo_veh10713 routing_veh10713;1312.00;veh10713;1;16109.98;1.16;0.00;753.95;veh_passenger;;15;538.00
1833.00;1052750839#1_0;33.84;12.02;536.00;0.00;-1376928919#1_0;5.10;8.43;tripinfo_veh11041 routing_veh11041;1297.00;veh11041;1;11012.77;0.93;0.00;660.71;veh_passenger;;17;436.00
1833.00;1044737388#2_0;257.36;15.40;945.00;0.04;1055098885#0_0;0.20;0.00;tripinfo_veh19465 routing_veh19465;888.00;veh19465;1;13948.00;1.16;0.00;380.73;veh_passenger;;5;257.00
1834.00;-1383716087#0_0;6.57;14.31;206.00;0.11;-1051093559#0_0;5.10;0.00;tripinfo_veh4241 routing_veh4241;1628.00;veh4241;1;8541.04;1.10;0.00;1304.10;veh_passenger;;5;1176.00
1834.00;-378246877#5_0;273.17;10.76;818.00;0.43;-1053940531#1_0;5.10;11.07;tripinfo_veh16841 routing_veh16841;1016.00;veh16841;1;6044.04;0.80;0.00;562.99;veh_passenger;;11;431.00
1834.00;1387980067#2_0;370.13;12.54;1229.00;0.68;626826901_0;5.10;0.00;tripinfo_veh25302 routing_veh25302;605.00;veh25302;1;9500.77;0.94;0.00;44.65;veh_passenger;;0;0.00
1835.00;229908892#9_0;11.67;7.59;760.00;0.59;-1051093571_0;5.10;12.44;tripinfo_veh15643 routing_veh15643;1075.00;veh15643;1;14374.31;0.90;0.00;449.37;veh_passenger;;6;297.00
1835.00;1388473258_0;223.23;10.74;900.00;0.58;987968753_0;5.10;11.97;tripinfo_veh18527 routing_veh18527;935.00;veh18527;1;16277.19;0.86;0.00;184.54;veh_passenger;;1;117.00
1835.00;813609098#1_0;81.99;13.09;985.00;10.33;1209159763#2_1;5.10;0.00;tripinfo_veh20077 routing_veh20077;850.00;veh20077;1;7084.14;1.00;0.00;563.90;veh_passenger;;8;328.00
1835.00;1380681294#0_0;65.44;13.87;1369.00;0.82;-1384918001_0;5.10;14.73;tripinfo_veh28183 routing_veh28183;466.00;veh28183;1;11747.91;1.06;0.00;29.85;veh_passenger;;0;0.00
